"original_roadmap_stage","original_roadmap_title","original_release","original_objective","actual_repository_stage_or_stages","actual_repository_commit","actual_implementation","current_status","completed_components","missing_components","upstream_gate","downstream_gate","required_datasets","required_annotations","required_models","required_configs","required_source_modules","required_launchers","required_tests","required_reports","required_local_artifacts","long_running_commands","resume_policy","test_set_policy","leakage_policy","current_blocker","next_safe_action"
"0","Research Specification","Release 1","Deliver Research Specification under the documented research-only safety contract.","0","6d12ec2","See canonical mapping, Git commits, stage reports, and the stage specification.","COMPLETED_AND_VERIFIED","Mapped repository gates and reports are verified.","Limitations remain documented; no gate is silently reopened.","Repository research protocol evidence","Original Stage 1 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","No current gate blocker; documented limitations remain.","Satisfy the upstream gate and resolve documented evidence before implementation."
"1","Repository and Engineering Foundation","Release 1","Deliver Repository and Engineering Foundation under the documented research-only safety contract.","1;2","6d12ec2;874529b;17e9d0c","See canonical mapping, Git commits, stage reports, and the stage specification.","PARTIALLY_COMPLETED","Only components explicitly identified in the stage specification are complete.","See the stage specification for unresolved evidence.","Original Stage 0 applicable gate plus mapped actual-stage gates","Original Stage 2 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"2","Dataset Access and Governance","Release 1","Deliver Dataset Access and Governance under the documented research-only safety contract.","3;4;4.1;4.2;4.3;4.4","593db9f;25c2f89;8233c9e;0dcf30a;5a94c68;c3c15be","See canonical mapping, Git commits, stage reports, and the stage specification.","PARTIALLY_COMPLETED","Only components explicitly identified in the stage specification are complete.","See the stage specification for unresolved evidence.","Original Stage 1 applicable gate plus mapped actual-stage gates","Original Stage 3 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"3","Data Pipeline and Patient-Level Splits","Release 1","Deliver Data Pipeline and Patient-Level Splits under the documented research-only safety contract.","4;4.1;4.2;4.3;4.4","25c2f89;8233c9e;0dcf30a;5a94c68;c3c15be","See canonical mapping, Git commits, stage reports, and the stage specification.","COMPLETED_AND_VERIFIED","Mapped repository gates and reports are verified.","Limitations remain documented; no gate is silently reopened.","Original Stage 2 applicable gate plus mapped actual-stage gates","Original Stage 4 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","No current gate blocker; documented limitations remain.","Satisfy the upstream gate and resolve documented evidence before implementation."
"4","DenseNet Multi-Label Baseline","Release 1","Deliver DenseNet Multi-Label Baseline under the documented research-only safety contract.","6","a7bb9aa","See canonical mapping, Git commits, stage reports, and the stage specification.","PARTIALLY_COMPLETED","Only components explicitly identified in the stage specification are complete.","See the stage specification for unresolved evidence.","Original Stage 3 applicable gate plus mapped actual-stage gates","Original Stage 5 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"5","RAD-DINO Advanced Classifier","Release 1","Deliver RAD-DINO Advanced Classifier under the documented research-only safety contract.","7B;7C;7D;7E","261af84;a689e77;6d7d6ec;a2e80aa","See canonical mapping, Git commits, stage reports, and the stage specification.","COMPLETED_AND_VERIFIED","Mapped repository gates and reports are verified.","Limitations remain documented; no gate is silently reopened.","Original Stage 4 applicable gate plus mapped actual-stage gates","Original Stage 6 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","No current gate blocker; documented limitations remain.","Satisfy the upstream gate and resolve documented evidence before implementation."
"6","Anatomy Segmentation","Release 1","Deliver Anatomy Segmentation under the documented research-only safety contract.","8A;8B;8C;8D;8E","66b83a3;868c0bf;c86e052;3bec7d1;2f3e5ad","See canonical mapping, Git commits, stage reports, and the stage specification.","COMPLETED_AND_VERIFIED","Mapped repository gates and reports are verified.","Limitations remain documented; no gate is silently reopened.","Original Stage 5 applicable gate plus mapped actual-stage gates","Original Stage 7 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","No current gate blocker; documented limitations remain.","Satisfy the upstream gate and resolve documented evidence before implementation."
"7","Lesion Segmentation and Detection","Release 1","Deliver Lesion Segmentation and Detection under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 6 applicable gate plus mapped actual-stage gates","Original Stage 8 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"8","Classification–Segmentation Fusion","Release 1","Deliver Classification–Segmentation Fusion under the documented research-only safety contract.","9A;9B;9C","45111d6;1193326;2417201;ebe9b5a","See canonical mapping, Git commits, stage reports, and the stage specification.","CURRENTLY_IN_PROGRESS","Only components explicitly identified in the stage specification are complete.","See the stage specification for unresolved evidence.","Original Stage 7 applicable gate plus mapped actual-stage gates","Original Stage 9 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","scripts/training/run_stage9b_external.ps1; scripts/evaluation/run_stage9c_comparison.ps1","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","External Stage 9B foreground command documented in LOCAL_EXECUTION_GUIDE.md.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Complete Stage 9B externally under the frozen worker-0 contract."
"9","Quality, View, and Device Heads","Release 2","Deliver Quality, View, and Device Heads under the documented research-only safety contract.","5;unassigned future actual stage","6b22d4c","See canonical mapping, Git commits, stage reports, and the stage specification.","PARTIALLY_COMPLETED","Only components explicitly identified in the stage specification are complete.","See the stage specification for unresolved evidence.","Original Stage 8 applicable gate plus mapped actual-stage gates","Original Stage 10 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
