"Category","Stage","Purpose","Relative path","Absolute path","Tracked","Generated","User runs directly","Input","Output","Long-running","Safe to resume","Current status"
"Data","9A","Shared patient-safe Stage 9 cohort","artifacts/stage9/stage9a_shared_cohort/stage9a_shared_cohort.sqlite","F:\AI\TrustCXR\artifacts\stage9\stage9a_shared_cohort\stage9a_shared_cohort.sqlite","false","true","false","Stage 8 split/NIH metadata","Stage 9B cohort","No","No","LOCAL_REQUIRED"
"Config","9B","Frozen worker-0 scientific contract","configs/training/stage9b_segmentation_guided_ablation.json","F:\AI\TrustCXR\configs\training\stage9b_segmentation_guided_ablation.json","true","false","false","Stage 9A gate","Training parameters","No","No","READY"
"Source","9B","Ablation implementation","src/trustcxr/integration/stage9b_ablation.py","F:\AI\TrustCXR\src\trustcxr\integration\stage9b_ablation.py","true","false","false","Cohort and masks","Checkpoints/reports","No","Yes","READY"
"Launcher","9B","Python runner","scripts/training/run_stage9b.py","F:\AI\TrustCXR\scripts\training\run_stage9b.py","true","false","true","Config","Stage 9B run","Yes","Yes","READY"
"Launcher","9B","External foreground runner","scripts/training/run_stage9b_external.ps1","F:\AI\TrustCXR\scripts\training\run_stage9b_external.ps1","true","false","true","Config/gates","Logs, manifest, run","Yes","Yes","READY"
"Monitor","9B","Read-only snapshot","scripts/training/monitor_stage9b.ps1","F:\AI\TrustCXR\scripts\training\monitor_stage9b.ps1","true","false","true","Runtime metadata","Console status","No","No","READY"
"Monitor","9B","One-time status checker","scripts/training/check_stage9b_status.ps1","F:\AI\TrustCXR\scripts\training\check_stage9b_status.ps1","true","false","true","Runtime metadata","Console status","No","No","READY"
"Validator","9B","Completion contract validator","scripts/evaluation/validate_stage9b_completion.ps1","F:\AI\TrustCXR\scripts\evaluation\validate_stage9b_completion.ps1","true","false","true","Completed artifacts","Gate result","No","No","READY"
"Report","9B","Report finalizer","scripts/evaluation/finalize_stage9b_reports.py","F:\AI\TrustCXR\scripts\evaluation\finalize_stage9b_reports.py","true","false","true","Completed summaries","Aggregate tracked reports","No","No","READY"
"Launcher","9C","Guarded paired comparison entrypoint","scripts/evaluation/run_stage9c_comparison.ps1","F:\AI\TrustCXR\scripts\evaluation\run_stage9c_comparison.ps1","true","false","true","Stage 9B plus paired predictions","Stage 9C outputs","Yes","No","WAITING_FOR_RESULTS_AND_IMPLEMENTATION"
"Launcher","9 final","Guarded frozen evaluation entrypoint","scripts/evaluation/run_stage9_final_evaluation.ps1","F:\AI\TrustCXR\scripts\evaluation\run_stage9_final_evaluation.ps1","true","false","true","Stage 9C plus freeze","Final Stage 9 outputs","Yes","No","WAITING_FOR_UPSTREAM_GATE"
"Audit","Project","Canonical actual-stage roadmap","docs/research_protocol/CANONICAL_STAGE_ROADMAP.md","F:\AI\TrustCXR\docs\research_protocol\CANONICAL_STAGE_ROADMAP.md","true","false","false","Git/reports","Stage mapping","No","No","VERIFIED"
"Registry","Project","Complete dual-system map","docs/research_protocol/CANONICAL_COMPLETE_STAGE_MAP.md","F:\AI\TrustCXR\docs\research_protocol\CANONICAL_COMPLETE_STAGE_MAP.md","true","false","false","Git/reports","Complete mapping","No","No","PREPARED"
"Registry","Project","Machine-readable complete registry","docs/execution/complete_stage_registry.json","F:\AI\TrustCXR\docs\execution\complete_stage_registry.json","true","false","false","Git/reports","Stage coverage","No","No","PREPARED"
"Guide","Project","Local execution handoff","docs/execution/LOCAL_EXECUTION_GUIDE.md","F:\AI\TrustCXR\docs\execution\LOCAL_EXECUTION_GUIDE.md","true","false","true","Runnable scripts","User commands","No","No","PREPARED"
"Manifest","Project","Machine-readable execution commands","docs/execution/execution_manifest.json","F:\AI\TrustCXR\docs\execution\execution_manifest.json","true","false","false","Runnable scripts","Command registry","No","No","PREPARED"
"Requirements","9","Stage environment lock","requirements/lock-stage8.txt","F:\AI\TrustCXR\requirements\lock-stage8.txt","true","false","false","Environment","Dependency evidence","No","No","EXISTING_CLOSEST_LOCK"
"Tests","9B","Stage 9B unit contracts","tests/unit/test_stage9b_ablation.py","F:\AI\TrustCXR\tests\unit\test_stage9b_ablation.py","true","false","false","Source/config","Test results","No","No","VERIFIED_BASELINE"
"Tests","Project","Complete stage coverage test","tests/unit/test_complete_stage_coverage.py","F:\AI\TrustCXR\tests\unit\test_complete_stage_coverage.py","true","false","false","Registry/specs","Coverage result","No","No","PREPARED"
"Root","Data","Raw dataset root","TrustCXR-Data","F:\AI\TrustCXR\TrustCXR-Data","false","false","false","Downloaded sources","Local datasets","No","No","PROHIBITED_SENSITIVE"
"Root","Artifacts","Ignored artifact root","artifacts","F:\AI\TrustCXR\artifacts","false","true","false","Stage runs","Local models/data","No","Yes","LOCAL_ONLY"
"Root","Reports","Tracked aggregate report root","reports","F:\AI\TrustCXR\reports","true","true","false","Aggregate results","Reports","No","No","TRACKED_AGGREGATES_ONLY"
"Root","Documentation","Tracked documentation root","docs","F:\AI\TrustCXR\docs","true","false","false","Evidence","Guidance","No","No","TRACKED"
"Root","Paper","Future paper root","paper","F:\AI\TrustCXR\paper","false","false","false","All final gates","Paper","No","No","NOT_CREATED_UPSTREAM_BLOCKED"
"Recovery","9B","Invalidated four-worker archive","cache/stage9b_four_worker_invalidated_20260806_020629","F:\AI\TrustCXR\cache\stage9b_four_worker_invalidated_20260806_020629","false","true","false","Invalid run evidence","Recovery only","No","No","KEEP_LOCAL_ARCHIVE"
"Recovery","Project","Preparation evidence backup","cache/preparation_handoff_20260806_024240","F:\AI\TrustCXR\cache\preparation_handoff_20260806_024240","false","true","false","Pre-edit state","Recovery only","No","No","KEEP_LOCAL_ARCHIVE"
